Proxy,Port,Country,Organization,latency
31.24.253.127,2053,DE,D Stream Group FZ LLC,1509ms
103.102.231.172,2053,FR,Jules Durand--Arnaudet,721ms
103.102.231.186,2053,FR,Jules Durand--Arnaudet,720ms
103.102.231.174,2053,FR,Jules Durand--Arnaudet,724ms
103.102.231.169,2053,FR,Jules Durand--Arnaudet,736ms
103.102.231.188,2053,FR,Jules Durand--Arnaudet,730ms
103.102.231.18,2053,FR,Jules Durand--Arnaudet,748ms
103.102.231.194,2053,FR,Jules Durand--Arnaudet,753ms
103.102.231.195,2053,FR,Jules Durand--Arnaudet,770ms
103.102.231.200,2053,FR,Jules Durand--Arnaudet,773ms
178.173.248.151,8443,NL,SIA VEESP,705ms
178.20.209.110,2053,DE,Aeza International LTD,849ms
178.157.82.110,2053,GB,MVPS LTD,886ms
178.160.195.187,443,AM,Telecom Armenia OJSC,903ms
178.20.44.2,2053,RU,VDSINA VDS Hosting,889ms
178.20.208.78,8443,RU,AEZA GROUP Ltd,918ms
103.102.231.20,2053,FR,Jules Durand--Arnaudet,766ms
103.102.231.218,2053,FR,Jules Durand--Arnaudet,776ms
103.102.231.19,2053,FR,Jules Durand--Arnaudet,789ms
103.102.231.236,2053,FR,Jules Durand--Arnaudet,864ms
66.151.40.245,4443,DE,none,653ms
103.102.231.150,2053,FR,Jules Durand--Arnaudet,891ms
103.102.231.202,2053,FR,Jules Durand--Arnaudet,897ms
103.102.231.231,2053,FR,Jules Durand--Arnaudet,886ms
66.151.40.218,8443,DE,none,667ms
66.151.43.150,2053,DE,none,666ms
103.102.231.217,2053,FR,Jules Durand--Arnaudet,902ms
66.151.40.218,2053,DE,none,681ms
103.102.231.227,2053,FR,Jules Durand--Arnaudet,907ms
66.151.40.55,8443,DE,none,682ms
103.102.231.238,2053,FR,Jules Durand--Arnaudet,895ms
103.102.231.237,2053,FR,Jules Durand--Arnaudet,904ms
66.151.40.55,2053,DE,none,689ms
103.102.231.23,2053,FR,Jules Durand--Arnaudet,915ms
66.151.34.227,2053,FI,HOSTKEY B.V.,835ms
66.151.34.156,443,FI,HOSTKEY B.V.,853ms
66.151.34.105,2053,FI,HOSTKEY B.V.,851ms
66.151.35.153,2053,FI,HOSTKEY B.V.,844ms
66.151.34.172,2053,FI,HOSTKEY B.V.,862ms
66.151.34.227,8443,FI,HOSTKEY B.V.,856ms
66.151.35.153,8443,FI,HOSTKEY B.V.,857ms
66.151.33.252,443,NL,HOSTKEY B.V.,937ms
66.151.32.244,2053,NL,HOSTKEY B.V.,944ms
66.151.32.244,8443,NL,HOSTKEY B.V.,947ms
66.203.144.242,7656,HK,LL,339ms
66.203.144.240,7656,HK,LL,358ms
66.203.144.241,7656,HK,LL,360ms
66.203.150.211,7656,HK,LL,373ms
103.102.231.32,2053,FR,Jules Durand--Arnaudet,771ms
103.102.231.25,2053,FR,Jules Durand--Arnaudet,883ms
103.102.231.248,2053,FR,Jules Durand--Arnaudet,888ms
103.102.231.36,2053,FR,Jules Durand--Arnaudet,887ms
103.102.231.220,2053,FR,Jules Durand--Arnaudet,891ms
103.102.231.39,2053,FR,Jules Durand--Arnaudet,889ms
103.102.231.42,2053,FR,Jules Durand--Arnaudet,888ms
103.102.231.244,2053,FR,Jules Durand--Arnaudet,914ms
103.102.231.41,2053,FR,Jules Durand--Arnaudet,896ms
103.102.231.245,2053,FR,Jules Durand--Arnaudet,915ms
103.102.231.232,2053,FR,Jules Durand--Arnaudet,912ms
66.203.150.210,7656,HK,LL,690ms
66.203.150.212,7656,HK,LL,690ms
66.151.43.150,8443,DE,none,718ms
66.151.42.104,443,NL,none,1021ms
66.151.42.239,443,NL,none,1026ms
66.23.198.74,10443,US,Redoubt Networks,1007ms
66.151.42.224,443,NL,none,1032ms
103.102.231.48,2053,FR,Jules Durand--Arnaudet,714ms
103.102.231.45,2053,FR,Jules Durand--Arnaudet,720ms
103.102.231.234,2053,FR,Jules Durand--Arnaudet,718ms
103.102.231.64,2053,FR,Jules Durand--Arnaudet,707ms
103.102.231.52,2053,FR,Jules Durand--Arnaudet,726ms
103.102.231.59,2053,FR,Jules Durand--Arnaudet,728ms
103.102.231.6,2053,FR,Jules Durand--Arnaudet,742ms
103.102.231.71,2053,FR,Jules Durand--Arnaudet,755ms
103.102.231.73,2053,FR,Jules Durand--Arnaudet,769ms
103.102.231.7,2053,FR,Jules Durand--Arnaudet,847ms
31.24.253.187,2053,DE,D Stream Group FZ LLC,739ms
